ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
TKT-000016,Critical,Resolved,Security,Virus detected,Security concern reported. Impact: Organization-wide,2025-09-09,2025-09-19,Database Team,2025-09-09 14:20:31
TKT-000017,Low,On Hold,Software,License renewal,Software problem affecting productivity. Application: IDE,2025-06-23,,Security Team,2025-06-23 14:20:31
TKT-000018,Medium,In Progress,Hardware,Hard drive failure,Hardware issue reported by user. Device: Desktop,2025-11-13,,Help Desk,2025-11-13 14:20:31
TKT-000019,Critical,Closed,Security,Firewall configuration,Security concern reported. Impact: Single user,2025-09-29,2025-10-06,Infrastructure Team,2025-09-29 14:20:31
TKT-000020,Critical,Open,Access,Access denied,User access issue. Type: Contractor,2025-08-16,,IT Team,2025-08-16 14:20:31
TKT-000021,Medium,Resolved,Printer,Printer driver needed,Printer malfunction in Reception,2025-08-07,2025-08-11,Infrastructure Team,2025-08-07 14:20:31
TKT-000022,High,Open,Hardware,Laptop not working,Hardware issue reported by user. Device: Laptop,2025-06-12,,IT Team,2025-06-12 14:20:31
TKT-000023,High,In Progress,Security,Suspicious activity,Security concern reported. Impact: Single user,2025-07-07,,Infrastructure Team,2025-07-07 14:20:31
TKT-000024,Critical,On Hold,Printer,Printer not printing,Printer malfunction in Floor 1,2025-06-20,,Support Team,2025-06-20 14:20:31
TKT-000025,Critical,On Hold,Software,Application crash,Software problem affecting productivity. Application: IDE,2025-09-16,,Security Team,2025-09-16 14:20:31
TKT-000026,Medium,Resolved,Server,Server down,Server issue on db-server-03,2025-11-21,2025-12-20,Infrastructure Team,2025-11-21 14:20:31
TKT-000027,High,Closed,Server,Application deployment,Server issue on app-server-02,2025-07-05,2025-08-01,Security Team,2025-07-05 14:20:31
TKT-000028,Critical,Closed,Access,Password reset,User access issue. Type: New hire,2025-07-10,2025-07-11,DevOps Team,2025-07-10 14:20:31
TKT-000029,Medium,Closed,Hardware,Monitor flickering,Hardware issue reported by user. Device: Desktop,2025-10-05,2025-10-28,Help Desk,2025-10-05 14:20:31
TKT-000030,High,On Hold,Database,Data corruption,Database issue affecting production environment,2025-08-03,,IT Team,2025-08-03 14:20:31
TKT-000031,Critical,On Hold,Security,Firewall configuration,Security concern reported. Impact: Department,2025-06-26,,Database Team,2025-06-26 14:20:31
TKT-000032,High,In Progress,Email,Attachment size limit,Email service issue. Mail client: Gmail,2025-11-06,,Database Team,2025-11-06 14:20:31
TKT-000033,Critical,On Hold,Server,Disk space full,Server issue on app-server-02,2025-12-05,,Help Desk,2025-12-05 14:20:31
TKT-000034,Low,Resolved,Software,Software installation request,Software problem affecting productivity. Application: Browser,2025-08-08,2025-09-09,IT Team,2025-08-08 14:20:31
TKT-000035,High,Open,Printer,Printer not printing,Printer malfunction in Floor 2,2025-07-28,,IT Team,2025-07-28 14:20:31
TKT-000036,Medium,Open,Security,Security audit,Security concern reported. Impact: Organization-wide,2025-10-20,,DevOps Team,2025-10-20 14:20:31
TKT-000037,Medium,In Progress,Hardware,Hard drive failure,Hardware issue reported by user. Device: Laptop,2025-08-26,,DevOps Team,2025-08-26 14:20:31
TKT-000038,High,Open,Email,Email not syncing,Email service issue. Mail client: Gmail,2025-07-29,,Network Team,2025-07-29 14:20:31
TKT-000039,Low,Closed,Printer,Paper jam,Printer malfunction in Floor 2,2025-12-04,2026-01-22,Help Desk,2025-12-04 14:20:31
TKT-000040,Critical,In Progress,Email,Cannot send emails,Email service issue. Mail client: Outlook,2025-10-29,,Infrastructure Team,2025-10-29 14:20:31
TKT-000041,Low,Closed,Access,Permission request,User access issue. Type: Role change,2025-09-13,2025-11-05,DevOps Team,2025-09-13 14:20:31
TKT-000042,Medium,On Hold,Software,Update failed,Software problem affecting productivity. Application: Browser,2025-08-19,,Database Team,2025-08-19 14:20:31
TKT-000043,Critical,On Hold,Server,High CPU usage,Server issue on app-server-02,2025-09-22,,Help Desk,2025-09-22 14:20:31
TKT-000044,Medium,On Hold,Server,Disk space full,Server issue on web-server-01,2025-08-28,,IT Team,2025-08-28 14:20:31
TKT-000045,Medium,In Progress,Database,Backup failed,Database issue affecting production environment,2025-07-02,,Security Team,2025-07-02 14:20:31
TKT-000046,Critical,Open,Other,Request for help,General IT support request,2025-07-25,,Network Team,2025-07-25 14:20:31
TKT-000047,Low,Closed,Server,Application deployment,Server issue on web-server-01,2025-11-19,2025-12-28,IT Team,2025-11-19 14:20:31
TKT-000048,Medium,Resolved,Printer,Printer not printing,Printer malfunction in Floor 3,2025-08-28,2025-09-21,Support Team,2025-08-28 14:20:31
TKT-000049,Medium,Closed,Other,General inquiry,General IT support request,2025-08-27,2025-09-07,Security Team,2025-08-27 14:20:31
TKT-000050,High,Open,Email,Cannot send emails,Email service issue. Mail client: Gmail,2025-08-17,,Support Team,2025-08-17 14:20:31
TKT-000051,Medium,On Hold,Access,Access denied,User access issue. Type: New hire,2025-10-16,,IT Team,2025-10-16 14:20:31
TKT-000052,Critical,In Progress,Software,License renewal,Software problem affecting productivity. Application: Office Suite,2025-07-25,,Infrastructure Team,2025-07-25 14:20:31
TKT-000053,Medium,Closed,Software,Performance issue,Software problem affecting productivity. Application: Office Suite,2025-08-05,2025-08-10,Infrastructure Team,2025-08-05 14:20:31
TKT-000054,Medium,On Hold,Other,Documentation needed,General IT support request,2025-06-24,,Help Desk,2025-06-24 14:20:31
TKT-000055,Critical,Open,Hardware,Hard drive failure,Hardware issue reported by user. Device: Desktop,2025-11-11,,DevOps Team,2025-11-11 14:20:31
TKT-000056,Critical,On Hold,Network,VPN connection issues,Network connectivity issue affecting 10 users in Building A,2025-10-17,,Database Team,2025-10-17 14:20:31
TKT-000057,Medium,On Hold,Email,Attachment size limit,Email service issue. Mail client: Web Mail,2025-06-18,,DevOps Team,2025-06-18 14:20:31
TKT-000058,Critical,On Hold,Email,Email not syncing,Email service issue. Mail client: Gmail,2025-10-17,,DevOps Team,2025-10-17 14:20:31
TKT-000059,Medium,On Hold,Security,Security audit,Security concern reported. Impact: Organization-wide,2025-09-26,,Security Team,2025-09-26 14:20:31
TKT-000060,High,Closed,Software,Software installation request,Software problem affecting productivity. Application: IDE,2025-08-28,2025-09-15,Network Team,2025-08-28 14:20:31
TKT-000061,Low,On Hold,Printer,Print quality issue,Printer malfunction in Reception,2025-08-06,,IT Team,2025-08-06 14:20:31
TKT-000062,Medium,Open,Network,Network printer offline,Network connectivity issue affecting 39 users in Building A,2025-10-16,,Security Team,2025-10-16 14:20:31
TKT-000063,High,Open,Software,Application crash,Software problem affecting productivity. Application: IDE,2025-07-25,,Infrastructure Team,2025-07-25 14:20:31
TKT-000064,Medium,On Hold,Security,Suspicious activity,Security concern reported. Impact: Department,2025-09-13,,Security Team,2025-09-13 14:20:31
TKT-000065,High,Closed,Hardware,Monitor flickering,Hardware issue reported by user. Device: Desktop,2025-09-05,2025-10-29,Database Team,2025-09-05 14:20:31
TKT-000066,Critical,Closed,Other,Feedback,General IT support request,2025-12-05,2025-12-30,DevOps Team,2025-12-05 14:20:31
TKT-000067,Critical,Resolved,Security,Security audit,Security concern reported. Impact: Single user,2025-07-06,2025-07-09,Security Team,2025-07-06 14:20:31
TKT-000068,Critical,Closed,Network,VPN connection issues,Network connectivity issue affecting 36 users in Building B,2025-07-27,2025-08-09,DevOps Team,2025-07-27 14:20:31
TKT-000069,Critical,Resolved,Hardware,Laptop not working,Hardware issue reported by user. Device: Laptop,2025-10-18,2025-10-30,Database Team,2025-10-18 14:20:31
TKT-000070,High,Resolved,Security,Security audit,Security concern reported. Impact: Organization-wide,2025-10-12,2025-11-11,Help Desk,2025-10-12 14:20:31
TKT-000071,Medium,On Hold,Access,Access denied,User access issue. Type: Contractor,2025-09-20,,IT Team,2025-09-20 14:20:31
TKT-000072,Low,Closed,Database,Query performance slow,Database issue affecting staging environment,2025-07-03,2025-07-04,Support Team,2025-07-03 14:20:31
TKT-000073,Critical,Resolved,Printer,Paper jam,Printer malfunction in Floor 2,2025-10-10,2025-11-06,IT Team,2025-10-10 14:20:31
TKT-000074,Medium,Resolved,Hardware,Keyboard malfunction,Hardware issue reported by user. Device: Desktop,2025-09-23,2025-10-05,Help Desk,2025-09-23 14:20:31
TKT-000075,Medium,Closed,Software,Application crash,Software problem affecting productivity. Application: Custom App,2025-06-27,2025-07-17,Support Team,2025-06-27 14:20:31
TKT-000076,High,On Hold,Server,Server down,Server issue on web-server-01,2025-08-05,,IT Team,2025-08-05 14:20:31
TKT-000077,Medium,In Progress,Security,SSL certificate expired,Security concern reported. Impact: Single user,2025-09-27,,Database Team,2025-09-27 14:20:31
TKT-000078,High,Resolved,Network,WiFi not working,Network connectivity issue affecting 17 users in Building A,2025-10-21,2025-12-01,DevOps Team,2025-10-21 14:20:31
TKT-000079,Critical,In Progress,Printer,Toner replacement,Printer malfunction in Floor 3,2025-08-30,,Security Team,2025-08-30 14:20:31
TKT-000080,Medium,In Progress,Other,Feedback,General IT support request,2025-09-11,,Help Desk,2025-09-11 14:20:31
TKT-000081,Critical,Open,Server,Application deployment,Server issue on web-server-01,2025-07-14,,Support Team,2025-07-14 14:20:31
TKT-000082,Critical,Closed,Hardware,Hard drive failure,Hardware issue reported by user. Device: Laptop,2025-11-08,2025-11-30,Security Team,2025-11-08 14:20:31
TKT-000083,Low,Resolved,Software,Application crash,Software problem affecting productivity. Application: Browser,2025-10-12,2025-12-03,DevOps Team,2025-10-12 14:20:31
TKT-000084,Medium,On Hold,Printer,Toner replacement,Printer malfunction in Reception,2025-08-19,,DevOps Team,2025-08-19 14:20:31
TKT-000085,High,Open,Printer,Printer driver needed,Printer malfunction in Floor 3,2025-12-02,,Database Team,2025-12-02 14:20:31
TKT-000086,Critical,Resolved,Network,Network printer offline,Network connectivity issue affecting 45 users in Remote,2025-10-13,2025-10-26,Support Team,2025-10-13 14:20:31
TKT-000087,Low,In Progress,Access,Access denied,User access issue. Type: Contractor,2025-08-15,,Security Team,2025-08-15 14:20:31
TKT-000088,Critical,Closed,Printer,Printer not printing,Printer malfunction in Reception,2025-10-05,2025-10-12,IT Team,2025-10-05 14:20:31
TKT-000089,Critical,Open,Server,High CPU usage,Server issue on web-server-01,2025-09-02,,Help Desk,2025-09-02 14:20:31
TKT-000090,High,Resolved,Email,Attachment size limit,Email service issue. Mail client: Gmail,2025-11-16,2026-01-14,Help Desk,2025-11-16 14:20:31
TKT-000091,High,Resolved,Email,Email not syncing,Email service issue. Mail client: Gmail,2025-10-19,2025-12-16,DevOps Team,2025-10-19 14:20:31
TKT-000092,Medium,On Hold,Network,Network printer offline,Network connectivity issue affecting 9 users in Building A,2025-09-05,,Support Team,2025-09-05 14:20:31
TKT-000093,Critical,Resolved,Server,High CPU usage,Server issue on db-server-03,2025-11-23,2025-11-27,Infrastructure Team,2025-11-23 14:20:31
TKT-000094,Low,In Progress,Printer,Printer driver needed,Printer malfunction in Floor 1,2025-10-02,,Support Team,2025-10-02 14:20:31
TKT-000095,Low,Resolved,Email,Email not syncing,Email service issue. Mail client: Outlook,2025-06-24,2025-06-30,IT Team,2025-06-24 14:20:31
TKT-000096,High,Open,Printer,Printer not printing,Printer malfunction in Reception,2025-11-25,,IT Team,2025-11-25 14:20:31
TKT-000097,Low,Open,Printer,Toner replacement,Printer malfunction in Floor 3,2025-09-13,,Network Team,2025-09-13 14:20:31
TKT-000098,High,Closed,Hardware,Laptop not working,Hardware issue reported by user. Device: Desktop,2025-11-30,2026-01-21,DevOps Team,2025-11-30 14:20:31
TKT-000099,High,Open,Software,Software installation request,Software problem affecting productivity. Application: Office Suite,2025-12-03,,Security Team,2025-12-03 14:20:31
TKT-000100,Critical,Closed,Server,High CPU usage,Server issue on web-server-01,2025-06-24,2025-07-19,Network Team,2025-06-24 14:20:31
TKT-000101,Low,In Progress,Printer,Print quality issue,Printer malfunction in Floor 2,2025-08-27,,DevOps Team,2025-08-27 14:20:31
TKT-000102,Low,On Hold,Database,Database connection error,Database issue affecting staging environment,2025-07-16,,Infrastructure Team,2025-07-16 14:20:31
TKT-000103,High,Resolved,Email,Attachment size limit,Email service issue. Mail client: Web Mail,2025-11-28,2026-01-10,Help Desk,2025-11-28 14:20:31
TKT-000104,High,Open,Printer,Paper jam,Printer malfunction in Reception,2025-07-26,,IT Team,2025-07-26 14:20:31
TKT-000105,High,In Progress,Security,Firewall configuration,Security concern reported. Impact: Single user,2025-11-22,,Help Desk,2025-11-22 14:20:31
TKT-000106,High,In Progress,Software,Software installation request,Software problem affecting productivity. Application: Office Suite,2025-10-31,,Security Team,2025-10-31 14:20:31
TKT-000107,High,On Hold,Email,Email account setup,Email service issue. Mail client: Gmail,2025-08-04,,Help Desk,2025-08-04 14:20:31
TKT-000108,Critical,Resolved,Hardware,Monitor flickering,Hardware issue reported by user. Device: Laptop,2025-08-20,2025-08-21,Help Desk,2025-08-20 14:20:31
TKT-000109,Medium,Resolved,Access,Account locked,User access issue. Type: New hire,2025-12-02,2026-01-28,Help Desk,2025-12-02 14:20:31
TKT-000110,Medium,Open,Database,Access permission,Database issue affecting development environment,2025-06-11,,Help Desk,2025-06-11 14:20:31
TKT-000111,Critical,Resolved,Hardware,Keyboard malfunction,Hardware issue reported by user. Device: Desktop,2025-10-29,2025-11-23,IT Team,2025-10-29 14:20:31
TKT-000112,Medium,Closed,Printer,Printer not printing,Printer malfunction in Floor 2,2025-06-25,2025-08-10,Support Team,2025-06-25 14:20:31
TKT-000113,Medium,On Hold,Network,Cannot access shared drive,Network connectivity issue affecting 15 users in Remote,2025-08-17,,Database Team,2025-08-17 14:20:31
TKT-000114,High,On Hold,Network,Network printer offline,Network connectivity issue affecting 22 users in Building B,2025-07-13,,Network Team,2025-07-13 14:20:31
TKT-000115,High,Closed,Access,Account locked,User access issue. Type: Department transfer,2025-06-12,2025-07-28,DevOps Team,2025-06-12 14:20:31
TKT-000116,Critical,Closed,Email,Attachment size limit,Email service issue. Mail client: Thunderbird,2025-11-28,2025-12-17,Infrastructure Team,2025-11-28 14:20:31
TKT-000117,High,In Progress,Other,General inquiry,General IT support request,2025-07-01,,Database Team,2025-07-01 14:20:31
TKT-000118,Low,In Progress,Security,SSL certificate expired,Security concern reported. Impact: Organization-wide,2025-09-04,,Support Team,2025-09-04 14:20:31
TKT-000119,Low,Open,Printer,Toner replacement,Printer malfunction in Floor 2,2025-11-03,,IT Team,2025-11-03 14:20:31
TKT-000120,Medium,Closed,Network,WiFi not working,Network connectivity issue affecting 48 users in Building A,2025-09-12,2025-10-16,Security Team,2025-09-12 14:20:31
TKT-000121,Critical,On Hold,Server,Application deployment,Server issue on app-server-02,2025-07-02,,Support Team,2025-07-02 14:20:31
TKT-000122,Critical,Closed,Database,Query performance slow,Database issue affecting staging environment,2025-09-20,2025-09-24,Help Desk,2025-09-20 14:20:31
TKT-000123,High,Closed,Printer,Printer driver needed,Printer malfunction in Floor 2,2025-09-05,2025-11-01,Network Team,2025-09-05 14:20:31
TKT-000124,High,Resolved,Database,Access permission,Database issue affecting staging environment,2025-07-29,2025-08-29,Support Team,2025-07-29 14:20:31
TKT-000125,High,Resolved,Server,Application deployment,Server issue on app-server-02,2025-10-03,2025-10-25,DevOps Team,2025-10-03 14:20:31
TKT-000126,Low,Open,Printer,Printer driver needed,Printer malfunction in Floor 3,2025-10-31,,Infrastructure Team,2025-10-31 14:20:31
TKT-000127,Critical,In Progress,Server,High CPU usage,Server issue on web-server-01,2025-07-22,,IT Team,2025-07-22 14:20:31
TKT-000128,Critical,Resolved,Other,Documentation needed,General IT support request,2025-08-04,2025-08-31,Security Team,2025-08-04 14:20:31
TKT-000129,Low,Closed,Database,Query performance slow,Database issue affecting production environment,2025-09-11,2025-09-25,Infrastructure Team,2025-09-11 14:20:31
TKT-000130,Critical,Open,Network,Slow internet,Network connectivity issue affecting 12 users in Remote,2025-10-07,,Network Team,2025-10-07 14:20:31
TKT-000131,Medium,On Hold,Hardware,Monitor flickering,Hardware issue reported by user. Device: Laptop,2025-06-19,,Infrastructure Team,2025-06-19 14:20:31
TKT-000132,Medium,Resolved,Network,Slow internet,Network connectivity issue affecting 29 users in Remote,2025-09-02,2025-09-12,Support Team,2025-09-02 14:20:31
TKT-000133,Critical,Open,Network,Slow internet,Network connectivity issue affecting 23 users in Building B,2025-08-22,,Support Team,2025-08-22 14:20:31
TKT-000134,Critical,Closed,Server,Disk space full,Server issue on web-server-01,2025-06-16,2025-06-22,Help Desk,2025-06-16 14:20:31
TKT-000135,Medium,Resolved,Security,SSL certificate expired,Security concern reported. Impact: Department,2025-09-10,2025-09-24,Security Team,2025-09-10 14:20:31
TKT-000136,High,On Hold,Security,Security audit,Security concern reported. Impact: Organization-wide,2025-08-11,,Network Team,2025-08-11 14:20:31
TKT-000137,High,In Progress,Printer,Toner replacement,Printer malfunction in Floor 3,2025-06-17,,Support Team,2025-06-17 14:20:31
TKT-000138,High,Closed,Email,Spam filtering,Email service issue. Mail client: Web Mail,2025-07-23,2025-08-22,Network Team,2025-07-23 14:20:31
TKT-000139,Medium,On Hold,Network,Cannot access shared drive,Network connectivity issue affecting 15 users in Building B,2025-07-26,,Support Team,2025-07-26 14:20:31
TKT-000140,Critical,Resolved,Network,Cannot access shared drive,Network connectivity issue affecting 27 users in Remote,2025-07-01,2025-07-12,Security Team,2025-07-01 14:20:31
TKT-000141,Critical,Resolved,Printer,Printer driver needed,Printer malfunction in Floor 1,2025-08-09,2025-08-27,IT Team,2025-08-09 14:20:31
TKT-000142,Low,Open,Server,Application deployment,Server issue on app-server-02,2025-09-17,,Network Team,2025-09-17 14:20:31
TKT-000143,Low,Resolved,Security,Virus detected,Security concern reported. Impact: Single user,2025-06-16,2025-07-02,Database Team,2025-06-16 14:20:31
TKT-000144,High,In Progress,Database,Data corruption,Database issue affecting production environment,2025-08-04,,Help Desk,2025-08-04 14:20:31
TKT-000145,Medium,On Hold,Network,WiFi not working,Network connectivity issue affecting 27 users in Building B,2025-11-15,,Support Team,2025-11-15 14:20:31
TKT-000146,Low,On Hold,Email,Email not syncing,Email service issue. Mail client: Web Mail,2025-11-03,,Security Team,2025-11-03 14:20:31
TKT-000147,High,Open,Server,High CPU usage,Server issue on app-server-02,2025-10-02,,Infrastructure Team,2025-10-02 14:20:31
TKT-000148,Medium,In Progress,Server,Disk space full,Server issue on web-server-01,2025-09-08,,Support Team,2025-09-08 14:20:31
TKT-000149,High,On Hold,Server,Server down,Server issue on web-server-01,2025-10-22,,Security Team,2025-10-22 14:20:31
TKT-000150,Medium,Resolved,Network,VPN connection issues,Network connectivity issue affecting 27 users in Building A,2025-11-11,2025-12-04,Support Team,2025-11-11 14:20:31
TKT-000151,Low,In Progress,Access,Account locked,User access issue. Type: Role change,2025-10-26,,Network Team,2025-10-26 14:20:31
TKT-000152,High,In Progress,Software,Application crash,Software problem affecting productivity. Application: Office Suite,2025-09-20,,Network Team,2025-09-20 14:20:31
TKT-000153,Critical,On Hold,Network,VPN connection issues,Network connectivity issue affecting 20 users in Building A,2025-08-28,,IT Team,2025-08-28 14:20:31
TKT-000154,Low,Resolved,Other,Request for help,General IT support request,2025-11-17,2025-12-10,Security Team,2025-11-17 14:20:31
TKT-000155,High,On Hold,Email,Attachment size limit,Email service issue. Mail client: Web Mail,2025-11-25,,Network Team,2025-11-25 14:20:31
TKT-000156,Low,In Progress,Network,VPN connection issues,Network connectivity issue affecting 3 users in Building B,2025-10-13,,Network Team,2025-10-13 14:20:31
TKT-000157,Low,Resolved,Network,Network printer offline,Network connectivity issue affecting 35 users in Building B,2025-09-20,2025-10-09,IT Team,2025-09-20 14:20:31
TKT-000158,High,In Progress,Software,Software installation request,Software problem affecting productivity. Application: Office Suite,2025-10-16,,Help Desk,2025-10-16 14:20:31
TKT-000159,High,Closed,Hardware,Monitor flickering,Hardware issue reported by user. Device: Monitor,2025-08-09,2025-09-13,Database Team,2025-08-09 14:20:31
TKT-000160,Low,Resolved,Email,Spam filtering,Email service issue. Mail client: Outlook,2025-12-06,2025-12-19,Database Team,2025-12-06 14:20:31
TKT-000161,High,In Progress,Other,General inquiry,General IT support request,2025-08-20,,Support Team,2025-08-20 14:20:31
TKT-000162,Critical,In Progress,Other,Feedback,General IT support request,2025-08-23,,Security Team,2025-08-23 14:20:31
TKT-000163,High,On Hold,Network,VPN connection issues,Network connectivity issue affecting 37 users in Building A,2025-09-05,,DevOps Team,2025-09-05 14:20:31
TKT-000164,High,In Progress,Server,Service not responding,Server issue on app-server-02,2025-07-08,,Support Team,2025-07-08 14:20:31
TKT-000165,Critical,Closed,Server,Application deployment,Server issue on web-server-01,2025-11-15,2025-11-16,IT Team,2025-11-15 14:20:31
TKT-000166,Critical,In Progress,Database,Database connection error,Database issue affecting staging environment,2025-09-18,,Support Team,2025-09-18 14:20:31
TKT-000167,High,In Progress,Server,Service not responding,Server issue on db-server-03,2025-10-23,,Infrastructure Team,2025-10-23 14:20:31
TKT-000168,Medium,On Hold,Other,General inquiry,General IT support request,2025-08-20,,Help Desk,2025-08-20 14:20:31
TKT-000169,Medium,On Hold,Other,Documentation needed,General IT support request,2025-09-20,,IT Team,2025-09-20 14:20:31
TKT-000170,Low,Resolved,Other,Feature request,General IT support request,2025-12-01,2026-01-09,Help Desk,2025-12-01 14:20:31
TKT-000171,Low,On Hold,Printer,Toner replacement,Printer malfunction in Reception,2025-10-26,,Network Team,2025-10-26 14:20:31
TKT-000172,High,In Progress,Software,Software installation request,Software problem affecting productivity. Application: IDE,2025-07-03,,Database Team,2025-07-03 14:20:31
TKT-000173,Critical,Resolved,Database,Database connection error,Database issue affecting staging environment,2025-06-23,2025-07-14,Network Team,2025-06-23 14:20:31
TKT-000174,High,On Hold,Printer,Print quality issue,Printer malfunction in Floor 1,2025-10-30,,Security Team,2025-10-30 14:20:31
TKT-000175,Critical,Open,Email,Email account setup,Email service issue. Mail client: Thunderbird,2025-09-26,,Network Team,2025-09-26 14:20:31
TKT-000176,High,Open,Access,Account locked,User access issue. Type: Contractor,2025-07-06,,IT Team,2025-07-06 14:20:31
TKT-000177,Medium,On Hold,Printer,Print quality issue,Printer malfunction in Reception,2025-07-13,,Infrastructure Team,2025-07-13 14:20:31
TKT-000178,Low,Resolved,Other,Documentation needed,General IT support request,2025-06-28,2025-07-18,Infrastructure Team,2025-06-28 14:20:31
TKT-000179,High,On Hold,Security,Virus detected,Security concern reported. Impact: Department,2025-07-25,,Support Team,2025-07-25 14:20:31
TKT-000180,High,On Hold,Hardware,Laptop not working,Hardware issue reported by user. Device: Desktop,2025-06-24,,Infrastructure Team,2025-06-24 14:20:31
TKT-000181,High,In Progress,Network,Network printer offline,Network connectivity issue affecting 7 users in Remote,2025-07-31,,Support Team,2025-07-31 14:20:31
TKT-000182,Low,Open,Hardware,Mouse not responding,Hardware issue reported by user. Device: Peripheral,2025-11-19,,IT Team,2025-11-19 14:20:31
TKT-000183,High,Open,Network,Network printer offline,Network connectivity issue affecting 34 users in Remote,2025-06-19,,DevOps Team,2025-06-19 14:20:31
TKT-000184,Medium,In Progress,Hardware,Hard drive failure,Hardware issue reported by user. Device: Desktop,2025-11-05,,Help Desk,2025-11-05 14:20:31
TKT-000185,Critical,In Progress,Email,Email account setup,Email service issue. Mail client: Web Mail,2025-10-24,,DevOps Team,2025-10-24 14:20:31
TKT-000186,Medium,Open,Access,Access denied,User access issue. Type: New hire,2025-08-11,,DevOps Team,2025-08-11 14:20:31
TKT-000187,Low,On Hold,Server,Server down,Server issue on web-server-01,2025-09-09,,Support Team,2025-09-09 14:20:31
TKT-000188,Medium,In Progress,Email,Spam filtering,Email service issue. Mail client: Outlook,2025-06-14,,Help Desk,2025-06-14 14:20:31
TKT-000189,Medium,Open,Hardware,Laptop not working,Hardware issue reported by user. Device: Peripheral,2025-06-26,,Database Team,2025-06-26 14:20:31
TKT-000190,Medium,In Progress,Software,Performance issue,Software problem affecting productivity. Application: Browser,2025-06-21,,Help Desk,2025-06-21 14:20:31
TKT-000191,Medium,Closed,Server,Server down,Server issue on db-server-03,2025-08-23,2025-08-25,Security Team,2025-08-23 14:20:31
TKT-000192,High,In Progress,Other,Feedback,General IT support request,2025-06-12,,Database Team,2025-06-12 14:20:31
TKT-000193,High,Open,Email,Cannot send emails,Email service issue. Mail client: Outlook,2025-08-05,,Support Team,2025-08-05 14:20:31
TKT-000194,Medium,On Hold,Hardware,Hard drive failure,Hardware issue reported by user. Device: Peripheral,2025-09-19,,Security Team,2025-09-19 14:20:31
TKT-000195,Low,Open,Database,Database connection error,Database issue affecting development environment,2025-11-27,,Support Team,2025-11-27 14:20:31
TKT-000196,Medium,On Hold,Software,Application crash,Software problem affecting productivity. Application: Browser,2025-07-05,,Support Team,2025-07-05 14:20:31
TKT-000197,High,Resolved,Printer,Printer not printing,Printer malfunction in Floor 1,2025-07-23,2025-09-11,Database Team,2025-07-23 14:20:31
TKT-000198,Low,Open,Other,Feedback,General IT support request,2025-07-05,,Security Team,2025-07-05 14:20:31
TKT-000199,Critical,On Hold,Access,Access denied,User access issue. Type: Role change,2025-07-10,,Support Team,2025-07-10 14:20:31
TKT-000200,High,Resolved,Database,Access permission,Database issue affecting development environment,2025-08-22,2025-10-11,Network Team,2025-08-22 14:20:31
TKT-000201,Critical,Closed,Hardware,Keyboard malfunction,Hardware issue reported by user. Device: Monitor,2025-10-10,2025-10-24,Network Team,2025-10-10 14:20:31
TKT-000202,Low,Resolved,Software,Update failed,Software problem affecting productivity. Application: Browser,2025-09-28,2025-10-05,Infrastructure Team,2025-09-28 14:20:31
TKT-000203,Low,Open,Printer,Paper jam,Printer malfunction in Floor 2,2025-09-30,,DevOps Team,2025-09-30 14:20:31
