id,date,incident_type,severity,status,description,reported_by,created_at
81,2024-05-19,Unauthorized Access,High,Closed,Failed login attempts from IP 218.25.149.100,alice,2024-05-19 17:39:00
82,2024-03-10,Brute Force,High,Closed,Multiple password attempts detected - 245 attempts in 36 minutes,system,2024-03-10 15:15:00
83,2023-10-30,Unauthorized Access,Critical,Open,Failed login attempts from IP 228.29.118.172,system,2023-10-30 17:40:00
84,2023-05-18,Ransomware,Critical,Closed,Encryption malware detected - 209 files affected,system,2023-05-18 17:28:00
85,2024-09-20,Social Engineering,Critical,In Progress,Employee reported suspicious phone call requesting credentials,david,2024-09-20 20:40:00
86,2023-01-06,Social Engineering,Low,In Progress,Employee reported suspicious email requesting credentials,charlie,2023-01-06 12:13:00
87,2023-06-23,Phishing,Critical,Open,Suspicious email detected targeting finance department,bob,2023-06-23 11:09:00
88,2023-07-14,SQL Injection,Low,Open,SQL injection attempt detected on login page,charlie,2023-07-14 23:08:00
89,2024-02-03,DDoS,Medium,Open,Distributed denial of service attack on database,system,2024-02-03 10:57:00
90,2023-09-06,DDoS,Critical,In Progress,Distributed denial of service attack on API gateway,bob,2023-09-06 06:18:00
91,2023-09-29,Unauthorized Access,Medium,Resolved,Failed login attempts from IP 84.169.231.203,admin,2023-09-29 06:24:00
92,2023-03-06,Malware,Critical,Resolved,Malicious software found on workstation 882,alice,2023-03-06 15:51:00
93,2024-03-11,Phishing,Medium,Closed,Suspicious email detected targeting finance department,system,2024-03-11 16:55:00
94,2023-04-20,Social Engineering,Low,Resolved,Employee reported suspicious text message requesting credentials,bob,2023-04-20 10:58:00
95,2024-05-17,Malware,High,Closed,Malicious software found on workstation 272,david,2024-05-17 08:49:00
96,2024-03-17,Unauthorized Access,Low,Open,Failed login attempts from IP 76.5.33.18,system,2024-03-17 14:09:00
97,2024-12-01,Brute Force,Medium,Resolved,Multiple password attempts detected - 289 attempts in 38 minutes,system,2024-12-01 10:15:00
98,2023-07-22,DDoS,High,Open,Distributed denial of service attack on API gateway,emma,2023-07-22 20:28:00
99,2024-08-20,Social Engineering,Critical,Closed,Employee reported suspicious phone call requesting credentials,alice,2024-08-20 17:38:00
100,2023-02-13,Unauthorized Access,High,In Progress,Failed login attempts from IP 130.78.41.147,alice,2023-02-13 02:49:00
101,2023-07-13,Phishing,Low,In Progress,Suspicious email detected targeting finance department,alice,2023-07-13 11:19:00
102,2023-02-22,Social Engineering,High,Open,Employee reported suspicious email requesting credentials,charlie,2023-02-22 03:59:00
103,2024-09-24,Social Engineering,High,Open,Employee reported suspicious text message requesting credentials,bob,2024-09-24 01:15:00
104,2023-01-17,Social Engineering,Low,Open,Employee reported suspicious phone call requesting credentials,bob,2023-01-17 07:00:00
105,2023-02-09,DDoS,Critical,Resolved,Distributed denial of service attack on web server,david,2023-02-09 22:30:00
106,2024-04-02,Data Breach,Low,Resolved,Unauthorized data access - 3341 records exposed,system,2024-04-02 23:20:00
107,2023-04-08,DDoS,Medium,Closed,Distributed denial of service attack on API gateway,david,2023-04-08 15:52:00
108,2023-06-12,Ransomware,Critical,Resolved,Encryption malware detected - 436 files affected,system,2023-06-12 03:16:00
109,2024-11-17,DDoS,Critical,Open,Distributed denial of service attack on web server,system,2024-11-17 05:18:00
110,2024-06-09,Ransomware,High,Closed,Encryption malware detected - 341 files affected,charlie,2024-06-09 18:39:00
111,2024-05-27,Phishing,Medium,In Progress,Suspicious email detected targeting IT department,bob,2024-05-27 22:33:00
112,2023-05-20,Data Breach,Medium,Open,Unauthorized data access - 1771 records exposed,admin,2023-05-20 08:04:00
113,2023-07-18,Unauthorized Access,High,In Progress,Failed login attempts from IP 33.43.54.86,charlie,2023-07-18 17:19:00
114,2024-07-15,Unauthorized Access,Medium,In Progress,Failed login attempts from IP 54.78.200.214,system,2024-07-15 09:54:00
115,2023-03-24,DDoS,Critical,Open,Distributed denial of service attack on database,emma,2023-03-24 07:46:00
116,2023-03-07,Social Engineering,Critical,In Progress,Employee reported suspicious email requesting credentials,emma,2023-03-07 12:42:00
117,2023-02-25,Data Breach,Critical,In Progress,Unauthorized data access - 1926 records exposed,emma,2023-02-25 16:44:00
118,2023-07-24,SQL Injection,Critical,In Progress,SQL injection attempt detected on login page,system,2023-07-24 04:38:00
119,2023-05-16,Brute Force,Low,Closed,Multiple password attempts detected - 438 attempts in 40 minutes,charlie,2023-05-16 00:20:00
120,2023-04-30,Phishing,Critical,In Progress,Suspicious email detected targeting IT department,david,2023-04-30 20:10:00
121,2024-05-14,Malware,Medium,Open,Malicious software found on workstation 145,alice,2024-05-14 20:28:00
122,2023-08-12,Data Breach,High,Closed,Unauthorized data access - 2891 records exposed,charlie,2023-08-12 15:04:00
123,2023-03-14,Unauthorized Access,Medium,In Progress,Failed login attempts from IP 236.66.28.37,emma,2023-03-14 12:09:00
124,2023-12-25,Social Engineering,Critical,Resolved,Employee reported suspicious email requesting credentials,alice,2023-12-25 00:51:00
125,2024-07-11,Unauthorized Access,Medium,In Progress,Failed login attempts from IP 122.82.88.71,emma,2024-07-11 00:18:00
126,2024-10-25,Social Engineering,Low,Resolved,Employee reported suspicious text message requesting credentials,bob,2024-10-25 21:33:00
127,2023-07-21,Malware,Low,Closed,Malicious software found on workstation 242,david,2023-07-21 14:39:00
128,2024-09-26,Brute Force,Critical,Resolved,Multiple password attempts detected - 102 attempts in 26 minutes,david,2024-09-26 01:41:00
129,2023-08-26,Data Breach,Critical,In Progress,Unauthorized data access - 9612 records exposed,bob,2023-08-26 20:20:00
130,2024-03-22,Ransomware,Critical,In Progress,Encryption malware detected - 498 files affected,david,2024-03-22 14:42:00
131,2024-04-30,SQL Injection,Medium,Open,SQL injection attempt detected on login page,system,2024-04-30 19:13:00
132,2023-02-08,Unauthorized Access,Low,In Progress,Failed login attempts from IP 219.72.126.130,bob,2023-02-08 15:45:00
133,2023-05-24,Malware,Medium,In Progress,Malicious software found on workstation 846,david,2023-05-24 16:44:00
134,2024-05-29,Ransomware,Critical,In Progress,Encryption malware detected - 198 files affected,admin,2024-05-29 06:45:00
135,2023-03-15,Brute Force,Low,Closed,Multiple password attempts detected - 378 attempts in 33 minutes,admin,2023-03-15 01:18:00
136,2023-08-26,Phishing,Medium,In Progress,Suspicious email detected targeting HR department,charlie,2023-08-26 17:59:00
137,2024-03-31,XSS Attack,High,In Progress,Cross-site scripting vulnerability exploited in comment section,system,2024-03-31 18:46:00
138,2023-02-04,SQL Injection,Low,Closed,SQL injection attempt detected on API endpoint,bob,2023-02-04 02:47:00
139,2024-11-11,Phishing,Low,Resolved,Suspicious email detected targeting IT department,charlie,2024-11-11 16:37:00
140,2023-09-24,Social Engineering,Medium,Resolved,Employee reported suspicious phone call requesting credentials,system,2023-09-24 07:11:00
141,2023-06-06,Malware,High,Closed,Malicious software found on workstation 706,admin,2023-06-06 21:25:00
142,2024-11-03,Social Engineering,High,In Progress,Employee reported suspicious email requesting credentials,alice,2024-11-03 17:53:00
143,2024-06-24,Phishing,Medium,Resolved,Suspicious email detected targeting HR department,alice,2024-06-24 01:25:00
144,2024-08-23,SQL Injection,Low,In Progress,SQL injection attempt detected on login page,system,2024-08-23 04:44:00
145,2023-09-26,Unauthorized Access,Medium,Open,Failed login attempts from IP 249.26.46.172,emma,2023-09-26 03:46:00
146,2023-01-29,Social Engineering,Critical,Resolved,Employee reported suspicious email requesting credentials,system,2023-01-29 03:17:00
147,2024-10-26,Ransomware,Low,Closed,Encryption malware detected - 397 files affected,admin,2024-10-26 15:32:00
148,2024-06-23,SQL Injection,Critical,Open,SQL injection attempt detected on search form,bob,2024-06-23 20:28:00
149,2023-01-14,Brute Force,Low,Open,Multiple password attempts detected - 117 attempts in 52 minutes,emma,2023-01-14 01:45:00
150,2024-06-30,Malware,Critical,Open,Malicious software found on workstation 352,bob,2024-06-30 05:56:00
151,2023-04-25,Brute Force,Critical,In Progress,Multiple password attempts detected - 57 attempts in 51 minutes,system,2023-04-25 20:07:00
152,2023-08-21,Unauthorized Access,Medium,Open,Failed login attempts from IP 224.253.75.74,david,2023-08-21 14:43:00
153,2023-07-30,Malware,High,Open,Malicious software found on workstation 261,emma,2023-07-30 07:38:00
154,2024-07-26,Brute Force,High,In Progress,Multiple password attempts detected - 469 attempts in 59 minutes,system,2024-07-26 19:36:00
155,2023-07-12,Data Breach,Critical,Open,Unauthorized data access - 7822 records exposed,system,2023-07-12 00:12:00
156,2023-06-12,Social Engineering,Medium,In Progress,Employee reported suspicious text message requesting credentials,david,2023-06-12 03:37:00
157,2023-09-24,DDoS,Low,Closed,Distributed denial of service attack on web server,system,2023-09-24 15:13:00
158,2024-08-13,SQL Injection,High,Closed,SQL injection attempt detected on login page,bob,2024-08-13 19:57:00
159,2023-10-21,Malware,Critical,Resolved,Malicious software found on workstation 593,david,2023-10-21 06:29:00
160,2023-07-31,Data Breach,High,Closed,Unauthorized data access - 7155 records exposed,charlie,2023-07-31 11:43:00
161,2023-12-11,Unauthorized Access,Medium,In Progress,Failed login attempts from IP 46.15.70.209,admin,2023-12-11 11:50:00
162,2023-07-11,Ransomware,Critical,Open,Encryption malware detected - 259 files affected,emma,2023-07-11 07:21:00
163,2024-04-08,Social Engineering,High,Closed,Employee reported suspicious phone call requesting credentials,david,2024-04-08 11:10:00
164,2023-12-24,Ransomware,Low,Closed,Encryption malware detected - 52 files affected,admin,2023-12-24 00:25:00
165,2023-02-16,Phishing,Medium,In Progress,Suspicious email detected targeting finance department,emma,2023-02-16 00:37:00
166,2023-06-05,XSS Attack,Low,Open,Cross-site scripting vulnerability exploited in search bar,david,2023-06-05 05:45:00
167,2024-09-02,Ransomware,Low,Resolved,Encryption malware detected - 214 files affected,david,2024-09-02 10:51:00
168,2024-01-25,Malware,Low,Closed,Malicious software found on workstation 208,admin,2024-01-25 03:16:00
169,2023-06-20,Malware,Low,Closed,Malicious software found on workstation 918,admin,2023-06-20 12:17:00
170,2024-12-01,Social Engineering,Critical,Closed,Employee reported suspicious text message requesting credentials,david,2024-12-01 16:59:00
171,2024-06-11,Social Engineering,Critical,In Progress,Employee reported suspicious email requesting credentials,charlie,2024-06-11 22:53:00
172,2024-04-25,Ransomware,Low,Open,Encryption malware detected - 226 files affected,bob,2024-04-25 17:17:00
173,2024-08-12,SQL Injection,Medium,Closed,SQL injection attempt detected on login page,system,2024-08-12 17:35:00
174,2023-12-22,Ransomware,Critical,Closed,Encryption malware detected - 24 files affected,charlie,2023-12-22 16:28:00
175,2024-03-31,Social Engineering,Low,Closed,Employee reported suspicious email requesting credentials,david,2024-03-31 16:51:00
176,2023-03-30,SQL Injection,Critical,Closed,SQL injection attempt detected on login page,bob,2023-03-30 04:10:00
177,2024-06-18,Phishing,Medium,In Progress,Suspicious email detected targeting HR department,admin,2024-06-18 16:09:00
178,2024-11-05,Brute Force,Low,Open,Multiple password attempts detected - 205 attempts in 52 minutes,admin,2024-11-05 09:11:00
179,2023-04-16,Malware,High,Resolved,Malicious software found on workstation 840,admin,2023-04-16 09:47:00
180,2024-09-04,Data Breach,Medium,Resolved,Unauthorized data access - 9528 records exposed,alice,2024-09-04 01:25:00
181,2023-03-29,Social Engineering,Medium,Resolved,Employee reported suspicious phone call requesting credentials,bob,2023-03-29 01:05:00
182,2023-10-22,DDoS,High,Open,Distributed denial of service attack on API gateway,bob,2023-10-22 09:58:00
183,2024-01-26,Unauthorized Access,Low,Closed,Failed login attempts from IP 151.110.253.41,bob,2024-01-26 21:42:00
184,2024-01-16,DDoS,High,Open,Distributed denial of service attack on database,bob,2024-01-16 06:17:00
185,2023-04-09,SQL Injection,Low,Closed,SQL injection attempt detected on search form,alice,2023-04-09 03:12:00
186,2023-10-17,Malware,Low,In Progress,Malicious software found on workstation 788,alice,2023-10-17 21:58:00
187,2023-08-24,Brute Force,Critical,Resolved,Multiple password attempts detected - 337 attempts in 57 minutes,alice,2023-08-24 20:46:00
188,2024-01-21,Unauthorized Access,Medium,Resolved,Failed login attempts from IP 193.229.169.102,charlie,2024-01-21 07:16:00
189,2024-07-24,XSS Attack,Medium,In Progress,Cross-site scripting vulnerability exploited in comment section,bob,2024-07-24 06:52:00
190,2024-08-04,XSS Attack,Low,Closed,Cross-site scripting vulnerability exploited in search bar,system,2024-08-04 03:36:00
191,2024-09-17,Malware,Low,Open,Malicious software found on workstation 914,emma,2024-09-17 15:01:00
192,2024-08-30,Ransomware,Low,Resolved,Encryption malware detected - 148 files affected,emma,2024-08-30 23:03:00
193,2023-07-18,DDoS,Medium,Open,Distributed denial of service attack on API gateway,alice,2023-07-18 15:56:00
194,2023-03-16,Malware,Medium,Resolved,Malicious software found on workstation 579,alice,2023-03-16 05:54:00
195,2023-05-04,XSS Attack,High,Open,Cross-site scripting vulnerability exploited in user profile,charlie,2023-05-04 08:07:00
196,2023-06-20,DDoS,High,Closed,Distributed denial of service attack on API gateway,bob,2023-06-20 11:43:00
197,2023-05-28,XSS Attack,Medium,In Progress,Cross-site scripting vulnerability exploited in user profile,admin,2023-05-28 04:41:00
198,2024-11-18,Data Breach,Low,Open,Unauthorized data access - 6230 records exposed,bob,2024-11-18 06:42:00
199,2024-03-12,Ransomware,Medium,In Progress,Encryption malware detected - 324 files affected,david,2024-03-12 03:50:00
200,2024-04-07,Phishing,High,Open,Suspicious email detected targeting IT department,david,2024-04-07 19:04:00
201,2023-07-19,XSS Attack,Low,In Progress,Cross-site scripting vulnerability exploited in user profile,emma,2023-07-19 15:30:00
202,2023-09-13,SQL Injection,High,In Progress,SQL injection attempt detected on login page,bob,2023-09-13 00:49:00
203,2023-02-03,SQL Injection,Medium,In Progress,SQL injection attempt detected on search form,charlie,2023-02-03 18:12:00
204,2023-08-25,Data Breach,Medium,Resolved,Unauthorized data access - 3727 records exposed,alice,2023-08-25 06:51:00
205,2024-09-23,Social Engineering,Critical,Closed,Employee reported suspicious text message requesting credentials,bob,2024-09-23 14:57:00
206,2024-03-07,XSS Attack,Critical,Resolved,Cross-site scripting vulnerability exploited in user profile,david,2024-03-07 07:17:00
207,2023-06-27,Unauthorized Access,Low,Closed,Failed login attempts from IP 98.80.225.169,bob,2023-06-27 09:50:00
208,2023-09-22,Malware,Low,In Progress,Malicious software found on workstation 450,system,2023-09-22 11:45:00
209,2023-07-20,Brute Force,Low,Closed,Multiple password attempts detected - 373 attempts in 44 minutes,bob,2023-07-20 21:54:00
210,2024-10-26,Brute Force,Low,Open,Multiple password attempts detected - 465 attempts in 37 minutes,system,2024-10-26 23:12:00
211,2023-03-19,Unauthorized Access,Critical,Resolved,Failed login attempts from IP 6.216.100.106,admin,2023-03-19 18:13:00
212,2023-08-16,Social Engineering,Low,Resolved,Employee reported suspicious email requesting credentials,system,2023-08-16 16:51:00
213,2024-05-19,Social Engineering,Low,Resolved,Employee reported suspicious text message requesting credentials,charlie,2024-05-19 12:21:00
214,2023-04-20,Brute Force,Critical,Resolved,Multiple password attempts detected - 449 attempts in 23 minutes,charlie,2023-04-20 22:48:00
215,2023-01-19,Phishing,Low,Closed,Suspicious email detected targeting finance department,emma,2023-01-19 21:22:00
216,2024-02-29,Brute Force,Critical,In Progress,Multiple password attempts detected - 145 attempts in 13 minutes,david,2024-02-29 22:14:00
217,2023-02-07,Social Engineering,Critical,Open,Employee reported suspicious text message requesting credentials,bob,2023-02-07 08:20:00
218,2023-12-16,Phishing,Medium,Resolved,Suspicious email detected targeting IT department,bob,2023-12-16 20:56:00
219,2024-02-26,Phishing,Critical,Resolved,Suspicious email detected targeting finance department,system,2024-02-26 07:27:00
220,2023-04-07,Social Engineering,Critical,Resolved,Employee reported suspicious phone call requesting credentials,bob,2023-04-07 12:54:00
221,2023-07-09,Unauthorized Access,High,In Progress,Failed login attempts from IP 107.159.202.200,admin,2023-07-09 19:30:00
222,2023-05-18,SQL Injection,Medium,Closed,SQL injection attempt detected on API endpoint,bob,2023-05-18 03:22:00
223,2023-06-09,Phishing,Medium,In Progress,Suspicious email detected targeting finance department,emma,2023-06-09 11:12:00
224,2023-04-01,SQL Injection,High,Open,SQL injection attempt detected on search form,admin,2023-04-01 05:31:00
225,2023-12-25,Malware,Critical,Resolved,Malicious software found on workstation 809,david,2023-12-25 04:17:00
226,2024-02-19,Data Breach,Critical,In Progress,Unauthorized data access - 8155 records exposed,david,2024-02-19 01:45:00
227,2023-12-21,DDoS,Critical,In Progress,Distributed denial of service attack on database,emma,2023-12-21 08:17:00
228,2024-01-11,DDoS,Low,Resolved,Distributed denial of service attack on database,charlie,2024-01-11 23:45:00
229,2024-08-25,Ransomware,Medium,Closed,Encryption malware detected - 373 files affected,charlie,2024-08-25 19:37:00
230,2023-03-03,Ransomware,Medium,Closed,Encryption malware detected - 62 files affected,david,2023-03-03 00:03:00
231,2024-07-25,SQL Injection,Critical,Resolved,SQL injection attempt detected on API endpoint,emma,2024-07-25 16:18:00
232,2024-07-22,SQL Injection,Medium,In Progress,SQL injection attempt detected on search form,emma,2024-07-22 20:07:00
233,2023-11-16,SQL Injection,Critical,In Progress,SQL injection attempt detected on search form,emma,2023-11-16 08:09:00
234,2023-12-30,Ransomware,Critical,Resolved,Encryption malware detected - 217 files affected,alice,2023-12-30 18:22:00
235,2023-01-06,Ransomware,Critical,Resolved,Encryption malware detected - 185 files affected,bob,2023-01-06 16:23:00
236,2023-08-22,SQL Injection,Medium,Resolved,SQL injection attempt detected on login page,system,2023-08-22 01:17:00
237,2023-10-05,Malware,High,Open,Malicious software found on workstation 493,emma,2023-10-05 17:41:00
238,2023-11-10,XSS Attack,Low,Open,Cross-site scripting vulnerability exploited in search bar,charlie,2023-11-10 07:03:00
239,2024-04-19,Phishing,Low,Closed,Suspicious email detected targeting IT department,system,2024-04-19 16:25:00
240,2023-07-30,Unauthorized Access,High,Closed,Failed login attempts from IP 1.155.171.187,bob,2023-07-30 13:11:00
241,2023-08-05,Ransomware,Medium,Resolved,Encryption malware detected - 109 files affected,alice,2023-08-05 09:12:00
242,2024-08-25,SQL Injection,Critical,Open,SQL injection attempt detected on search form,charlie,2024-08-25 16:23:00
243,2024-01-03,Unauthorized Access,Low,Closed,Failed login attempts from IP 156.91.146.195,emma,2024-01-03 17:07:00
244,2023-04-21,Phishing,High,Closed,Suspicious email detected targeting IT department,alice,2023-04-21 10:41:00
245,2024-10-15,Unauthorized Access,Medium,Closed,Failed login attempts from IP 68.226.161.65,bob,2024-10-15 15:37:00
246,2023-09-06,Brute Force,Critical,Closed,Multiple password attempts detected - 314 attempts in 51 minutes,bob,2023-09-06 22:02:00
247,2024-11-23,XSS Attack,Medium,In Progress,Cross-site scripting vulnerability exploited in user profile,alice,2024-11-23 03:20:00
248,2023-08-04,Data Breach,Medium,In Progress,Unauthorized data access - 906 records exposed,admin,2023-08-04 08:42:00
