id,dataset_name,category,source,last_update,record_count,file_size_mb,created_at
28,Student Performance 2022,Education,GitHub,2025-03-03,9256009,1509.66,2023-05-11 14:20:31
29,Supply Chain 2024,Manufacturing,API Collection,2025-04-19,30411,24.69,2023-12-12 14:20:31
30,Public Transit Usage 2021,Transportation,GitHub,2025-04-02,8582,3.17,2024-12-25 14:20:31
31,Vehicle Telemetry 2022,IoT,Kaggle,2025-07-31,897828,476.67,2024-07-26 14:20:31
32,Learning Analytics 2023,Education,Google Dataset Search,2025-08-27,984326,139.68,2025-05-02 14:20:31
33,Stock Market Data 2020,Finance,Google Dataset Search,2025-04-08,97532,48.51,2024-08-17 14:20:31
34,Inventory Management 2020,Retail,API Collection,2025-11-10,2110431,1445.4,2025-04-17 14:20:31
35,Equipment Maintenance 2023,Manufacturing,Company Database,2025-09-13,42707,37.99,2024-08-07 14:20:31
36,Sentiment Analysis 2024,Social Media,Internal,2025-07-11,8530,7.69,2024-05-07 14:20:31
37,Environmental Monitoring 2022,IoT,API Collection,2025-05-02,904177,284.33,2023-08-14 14:20:31
38,Student Performance 2024,Education,UCI ML Repository,2025-11-25,57872,22.8,2025-07-19 14:20:31
39,Quality Control 2024,Manufacturing,Internal,2025-08-25,96936,30.08,2024-02-26 14:20:31
40,Production Metrics 2020,Manufacturing,Data.gov,2024-12-15,2023533,1320.11,2024-02-06 14:20:31
41,Transaction Records 2024,Finance,Company Database,2024-12-16,3538885,2024.44,2023-07-07 14:20:31
42,Equipment Maintenance 2021,Manufacturing,Google Dataset Search,2025-08-11,946880,654.31,2024-02-19 14:20:31
43,Equipment Maintenance 2024,Manufacturing,AWS Open Data,2025-09-25,110774,95.23,2025-01-14 14:20:31
44,Supply Chain 2021,Manufacturing,Kaggle,2025-08-06,13872,9.53,2024-09-17 14:20:31
45,Supply Chain 2020,Manufacturing,Google Dataset Search,2025-03-30,8525911,6844.49,2024-04-19 14:20:31
46,Product Reviews 2024,E-commerce,AWS Open Data,2025-12-07,8775,5.82,2024-02-22 14:20:31
47,Product Reviews 2020,E-commerce,Web Scraping,2025-02-20,6409789,3520.26,2024-07-27 14:20:31
48,Vehicle Telemetry 2023,IoT,UCI ML Repository,2025-10-24,740777,261.44,2025-06-21 14:20:31
49,Student Performance 2023,Education,UCI ML Repository,2025-07-25,881670,225.28,2024-04-26 14:20:31
50,Clinical Trials 2023,Healthcare,GitHub,2025-02-27,440872,411.93,2024-08-14 14:20:31
51,Supply Chain 2024,Manufacturing,Web Scraping,2025-07-26,375731,66.21,2025-04-07 14:20:31
52,Product Catalog 2021,E-commerce,UCI ML Repository,2025-02-06,4464,3.76,2023-09-12 14:20:31
53,Sensor Readings 2022,IoT,Kaggle,2024-12-08,2657220,1169.08,2024-08-28 14:20:31
54,Inventory Management 2021,Retail,Data.gov,2025-07-09,38761,4.37,2024-02-02 14:20:31
55,Patient Records 2021,Healthcare,AWS Open Data,2025-02-15,750266,744.75,2023-11-29 14:20:31
56,Supply Chain 2024,Manufacturing,AWS Open Data,2025-11-07,364409,129.99,2025-04-23 14:20:31
57,Store Performance 2024,Retail,Internal,2025-07-25,63525,10.58,2025-06-10 14:20:31
58,Inventory Management 2021,Retail,Internal,2025-06-20,54619,13.12,2024-08-31 14:20:31
59,Flight Schedules 2020,Transportation,Web Scraping,2025-07-12,6366538,643.91,2023-11-08 14:20:31
60,Patient Records 2022,Healthcare,Google Dataset Search,2025-04-04,3792647,3564.84,2024-12-20 14:20:31
61,Learning Analytics 2023,Education,Web Scraping,2025-02-19,6714,4.54,2024-01-17 14:20:31
62,Smart Home Data 2023,IoT,API Collection,2025-03-16,280411,129.98,2023-03-27 14:20:31
63,Sensor Readings 2021,IoT,AWS Open Data,2025-09-28,8165,1.19,2023-10-16 14:20:31
64,Flight Schedules 2020,Transportation,Company Database,2025-04-29,5881293,2031.57,2024-11-24 14:20:31
65,Learning Analytics 2024,Education,API Collection,2024-12-18,206756,31.02,2023-05-17 14:20:31
66,Medical Imaging 2023,Healthcare,UCI ML Repository,2025-08-15,7974509,5412.52,2023-10-25 14:20:31
67,Social Media Engagement 2023,Marketing,Data.gov,2025-11-02,8768311,5578.88,2024-02-06 14:20:31
68,Medical Imaging 2023,Healthcare,Google Dataset Search,2025-02-10,7920696,3648.55,2023-09-01 14:20:31
69,Learning Analytics 2021,Education,Data.gov,2025-01-05,62760,11.4,2023-12-10 14:20:31
70,Smart Home Data 2022,IoT,API Collection,2025-02-06,1177016,351.57,2024-09-21 14:20:31
71,Learning Analytics 2024,Education,API Collection,2025-01-28,480038,169.18,2023-09-26 14:20:31
72,Customer Foot Traffic 2023,Retail,Data.gov,2025-04-07,7741359,7315.0,2024-03-08 14:20:31
73,Medical Imaging 2021,Healthcare,UCI ML Repository,2025-02-24,1257,0.89,2024-09-10 14:20:31
74,Quality Control 2023,Manufacturing,API Collection,2025-08-02,379636,170.09,2023-10-15 14:20:31
75,Course Enrollment 2020,Education,Web Scraping,2025-09-28,257846,105.56,2025-08-29 14:20:31
76,Investment Portfolio 2022,Finance,Google Dataset Search,2025-06-26,92159,37.65,2025-03-29 14:20:31
77,Transaction Records 2024,Finance,API Collection,2025-07-02,12443,4.66,2025-04-07 14:20:31
78,Trending Topics 2022,Social Media,Web Scraping,2025-05-19,5704,5.47,2024-10-30 14:20:31
79,Sensor Readings 2023,IoT,Web Scraping,2025-10-14,907734,678.92,2025-07-19 14:20:31
80,Campaign Performance 2020,Marketing,Data.gov,2025-05-30,7935,6.88,2024-11-07 14:20:31
81,Transaction Records 2022,Finance,GitHub,2025-02-06,9730175,6997.11,2024-03-22 14:20:31
82,Campaign Performance 2020,Marketing,GitHub,2025-01-13,805443,195.37,2024-11-16 14:20:31
83,Sensor Readings 2024,IoT,UCI ML Repository,2025-06-30,4619978,1443.95,2025-01-28 14:20:31
84,Shopping Cart Abandonment 2021,E-commerce,Kaggle,2025-07-15,1349,1.26,2024-04-07 14:20:31
85,Investment Portfolio 2024,Finance,Web Scraping,2025-02-27,10166,7.37,2023-04-25 14:20:31
86,Social Media Engagement 2022,Marketing,API Collection,2025-11-01,4353,3.67,2024-10-01 14:20:31
87,Course Enrollment 2020,Education,API Collection,2025-09-19,93876,87.85,2025-01-05 14:20:31
88,Drug Interactions 2021,Healthcare,API Collection,2025-07-07,9116,5.92,2024-07-27 14:20:31
89,Trending Topics 2024,Social Media,GitHub,2025-01-11,9252,5.51,2023-09-19 14:20:31
90,Social Media Engagement 2022,Marketing,Google Dataset Search,2025-02-18,66454,16.68,2023-04-03 14:20:31
91,Influencer Metrics 2024,Social Media,Web Scraping,2025-11-10,710775,648.18,2025-05-26 14:20:31
92,Customer Behavior Analysis 2021,Marketing,Web Scraping,2025-08-09,16573,12.7,2024-10-11 14:20:31
93,Supply Chain 2024,Manufacturing,Google Dataset Search,2024-12-19,45870,33.59,2024-06-30 14:20:31
94,Customer Foot Traffic 2022,Retail,Company Database,2025-07-09,3029293,2842.94,2024-07-23 14:20:31
95,Vehicle Telemetry 2024,IoT,API Collection,2025-06-22,59976,54.9,2024-06-06 14:20:31
96,Social Media Engagement 2023,Marketing,Internal,2025-01-01,562374,394.88,2023-07-14 14:20:31
97,Campaign Performance 2022,Marketing,Kaggle,2025-07-10,4129,2.85,2023-08-06 14:20:31
98,Clinical Trials 2024,Healthcare,AWS Open Data,2025-11-09,1921077,1538.82,2025-08-30 14:20:31
99,Product Reviews 2024,E-commerce,Web Scraping,2025-03-15,629186,616.46,2024-09-23 14:20:31
100,Environmental Monitoring 2022,IoT,GitHub,2025-11-20,79166,77.88,2024-01-30 14:20:31
101,Vehicle Telemetry 2020,IoT,Google Dataset Search,2025-10-23,6053,2.63,2024-09-28 14:20:31
102,Social Media Engagement 2024,Marketing,AWS Open Data,2025-05-24,415902,215.96,2025-03-10 14:20:31
103,Vehicle Telemetry 2021,IoT,Internal,2025-10-09,21205,4.68,2024-11-04 14:20:31
104,Traffic Patterns 2021,Transportation,Company Database,2025-01-22,455689,262.67,2023-01-25 14:20:31
105,Patient Records 2024,Healthcare,UCI ML Repository,2025-06-24,53960,26.32,2023-07-15 14:20:31
106,Patient Records 2024,Healthcare,Kaggle,2024-12-11,126679,60.06,2023-07-13 14:20:31
107,Social Media Engagement 2022,Marketing,Internal,2025-07-10,367367,51.29,2025-02-04 14:20:31
108,Clinical Trials 2022,Healthcare,GitHub,2025-06-01,5654,2.35,2024-04-25 14:20:31
109,Student Performance 2022,Education,GitHub,2025-09-05,7111,2.74,2024-11-18 14:20:31
110,Investment Portfolio 2023,Finance,Kaggle,2025-08-04,5964,2.76,2023-12-10 14:20:31
111,Equipment Maintenance 2020,Manufacturing,Web Scraping,2025-03-31,74204,72.97,2023-10-30 14:20:31
112,Course Enrollment 2021,Education,UCI ML Repository,2025-02-14,562089,529.58,2023-05-01 14:20:31
113,Inventory Management 2023,Retail,Kaggle,2024-12-21,9463367,5666.99,2023-06-16 14:20:31
114,Social Media Engagement 2022,Marketing,API Collection,2025-02-14,7203,3.66,2024-05-17 14:20:31
115,Quality Control 2023,Manufacturing,API Collection,2025-11-06,332661,222.25,2024-12-02 14:20:31
116,User Interactions 2024,Social Media,Kaggle,2025-08-12,817494,657.95,2024-06-13 14:20:31
117,Social Media Engagement 2023,Marketing,Data.gov,2025-09-27,451372,96.89,2024-05-17 14:20:31
118,Equipment Maintenance 2023,Manufacturing,Google Dataset Search,2024-12-28,91591,87.31,2023-05-20 14:20:31
119,User Interactions 2020,Social Media,UCI ML Repository,2025-10-19,48047,38.39,2024-08-04 14:20:31
120,Shopping Cart Abandonment 2021,E-commerce,Web Scraping,2025-10-03,4243,0.74,2024-07-19 14:20:31
121,Clinical Trials 2023,Healthcare,Data.gov,2025-08-04,8797,6.56,2023-09-23 14:20:31
122,Course Enrollment 2024,Education,API Collection,2025-06-12,48416,36.06,2025-01-17 14:20:31
123,Environmental Monitoring 2023,IoT,Google Dataset Search,2025-10-01,8589204,3737.42,2024-03-11 14:20:31
124,Environmental Monitoring 2024,IoT,Internal,2025-10-26,79691,61.32,2025-03-14 14:20:31
125,Inventory Management 2020,Retail,API Collection,2024-12-29,9428069,4485.42,2023-07-13 14:20:31
126,Public Transit Usage 2024,Transportation,Google Dataset Search,2025-05-05,69223,30.12,2024-02-12 14:20:31
127,Shopping Cart Abandonment 2020,E-commerce,Internal,2025-09-14,9784477,8490.93,2025-07-10 14:20:31
128,Product Reviews 2021,E-commerce,UCI ML Repository,2025-06-29,930894,824.76,2024-08-01 14:20:31
129,Equipment Maintenance 2023,Manufacturing,Data.gov,2025-11-19,4696341,1956.54,2025-08-11 14:20:31
130,Graduation Rates 2023,Education,Internal,2025-04-13,946611,530.88,2023-07-19 14:20:31
131,Graduation Rates 2020,Education,Internal,2025-09-25,5746,1.9,2023-11-09 14:20:31
132,Student Performance 2023,Education,GitHub,2025-08-29,93343,55.81,2024-05-15 14:20:31
133,Credit Risk Assessment 2022,Finance,Google Dataset Search,2025-09-06,4385,1.5,2023-10-22 14:20:31
134,Shipping Routes 2020,Transportation,Company Database,2025-10-06,96255,23.09,2024-08-29 14:20:31
135,Transaction Records 2020,Finance,AWS Open Data,2025-06-15,707756,607.2,2024-01-14 14:20:31
136,Sales Transactions 2021,Retail,Data.gov,2025-11-16,1220,0.61,2025-07-23 14:20:31
137,Shopping Cart Abandonment 2021,E-commerce,Kaggle,2025-03-28,369117,175.36,2023-09-30 14:20:31
138,Customer Behavior Analysis 2021,Marketing,AWS Open Data,2025-06-14,4133070,606.23,2024-11-19 14:20:31
139,Sales Transactions 2021,Retail,Kaggle,2025-03-17,4022,0.87,2024-11-12 14:20:31
140,Production Metrics 2021,Manufacturing,Google Dataset Search,2025-06-19,6109,2.62,2024-03-06 14:20:31
141,Medical Imaging 2022,Healthcare,Web Scraping,2024-12-13,326309,116.56,2023-07-18 14:20:31
142,Campaign Performance 2022,Marketing,Company Database,2025-06-09,1739,0.69,2023-07-28 14:20:31
143,Learning Analytics 2023,Education,Google Dataset Search,2025-01-16,446837,120.18,2024-02-13 14:20:31
144,Student Performance 2021,Education,Internal,2025-06-29,926248,119.53,2024-04-30 14:20:31
145,Product Reviews 2020,E-commerce,Internal,2025-05-06,5055808,1890.97,2024-08-19 14:20:31
146,Quality Control 2021,Manufacturing,API Collection,2025-02-20,846510,664.96,2023-12-07 14:20:31
147,Store Performance 2022,Retail,Kaggle,2025-03-01,4575,2.58,2024-04-09 14:20:31
148,Clinical Trials 2022,Healthcare,Kaggle,2025-10-19,8725,1.47,2025-02-18 14:20:31
149,Store Performance 2023,Retail,Google Dataset Search,2025-07-07,816531,488.03,2023-08-30 14:20:31
150,Patient Records 2022,Healthcare,API Collection,2025-07-12,213831,71.31,2024-09-14 14:20:31
151,Learning Analytics 2020,Education,Google Dataset Search,2025-02-16,7170338,6473.44,2023-12-22 14:20:31
152,Shipping Routes 2023,Transportation,API Collection,2025-09-20,8330008,1459.5,2024-08-24 14:20:31
153,Drug Interactions 2021,Healthcare,Company Database,2025-05-20,5197327,3666.2,2024-09-23 14:20:31
154,Sensor Readings 2024,IoT,Internal,2025-06-26,5316,3.26,2024-01-25 14:20:31
155,Trending Topics 2021,Social Media,AWS Open Data,2025-07-03,76303,56.83,2023-08-28 14:20:31
156,Flight Schedules 2021,Transportation,Web Scraping,2025-05-31,2954494,1191.42,2024-10-09 14:20:31
157,Smart Home Data 2024,IoT,Kaggle,2025-03-17,563363,555.36,2023-04-23 14:20:31
158,Sensor Readings 2022,IoT,API Collection,2025-01-19,5252,5.07,2023-09-30 14:20:31
159,Environmental Monitoring 2022,IoT,API Collection,2025-05-21,24935,23.95,2024-10-04 14:20:31
160,Sensor Readings 2024,IoT,Kaggle,2025-02-04,7405,4.76,2024-06-11 14:20:31
161,Sentiment Analysis 2024,Social Media,Data.gov,2025-04-27,58070,52.5,2024-12-25 14:20:31
162,Store Performance 2023,Retail,API Collection,2025-06-13,1447,0.99,2024-02-03 14:20:31
163,Patient Records 2020,Healthcare,Google Dataset Search,2025-11-15,6730901,1282.61,2023-11-19 14:20:31
164,Stock Market Data 2021,Finance,Google Dataset Search,2025-04-17,963727,473.08,2024-11-01 14:20:31
165,Product Reviews 2023,E-commerce,Kaggle,2024-12-19,4922920,2342.64,2024-02-29 14:20:31
166,Course Enrollment 2020,Education,Company Database,2025-08-02,6268,6.14,2024-04-07 14:20:31
167,Shopping Cart Abandonment 2023,E-commerce,API Collection,2025-03-23,6288907,3099.8,2024-12-28 14:20:31
168,Product Reviews 2021,E-commerce,Data.gov,2024-12-21,91367,24.7,2023-05-10 14:20:31
169,Student Performance 2023,Education,API Collection,2025-01-11,806917,356.21,2023-12-10 14:20:31
170,Supply Chain 2024,Manufacturing,Company Database,2025-01-08,43719,13.44,2023-06-03 14:20:31
171,Supply Chain 2020,Manufacturing,API Collection,2025-07-16,3663,1.69,2024-04-16 14:20:31
172,Traffic Patterns 2020,Transportation,Web Scraping,2025-05-18,477219,327.38,2024-03-02 14:20:31
173,Medical Imaging 2024,Healthcare,Data.gov,2025-05-12,7496,3.53,2024-06-06 14:20:31
174,Medical Imaging 2022,Healthcare,Data.gov,2025-05-01,35436,3.99,2023-11-29 14:20:31
175,Customer Foot Traffic 2021,Retail,Data.gov,2025-11-11,32571,31.6,2024-10-25 14:20:31
176,Equipment Maintenance 2021,Manufacturing,Company Database,2025-09-22,951249,288.6,2024-06-07 14:20:31
177,Graduation Rates 2023,Education,Google Dataset Search,2025-10-02,918669,714.2,2024-05-22 14:20:31
178,Graduation Rates 2022,Education,UCI ML Repository,2025-03-26,712550,471.26,2024-09-05 14:20:31
179,Graduation Rates 2021,Education,AWS Open Data,2025-02-18,8654822,3467.38,2024-10-22 14:20:31
180,Inventory Management 2023,Retail,Kaggle,2025-07-28,31334,24.19,2024-08-01 14:20:31
181,Campaign Performance 2024,Marketing,Web Scraping,2025-04-04,980221,134.79,2024-11-06 14:20:31
182,Smart Home Data 2022,IoT,Google Dataset Search,2025-02-19,3814,2.74,2024-12-31 14:20:31
183,Product Catalog 2021,E-commerce,Google Dataset Search,2025-01-04,7854456,1077.59,2024-09-26 14:20:31
184,Vehicle Telemetry 2023,IoT,Kaggle,2025-11-13,2151869,1879.34,2024-07-30 14:20:31
185,Shopping Cart Abandonment 2021,E-commerce,API Collection,2025-07-30,6348,5.98,2023-12-12 14:20:31
186,Customer Behavior Analysis 2022,Marketing,Company Database,2025-10-10,1322092,566.65,2024-05-06 14:20:31
187,Public Transit Usage 2022,Transportation,GitHub,2025-01-24,6828,2.59,2024-09-24 14:20:31
188,Store Performance 2022,Retail,API Collection,2025-05-03,57480,49.81,2023-09-09 14:20:31
189,Sentiment Analysis 2020,Social Media,Google Dataset Search,2025-08-25,16841,12.64,2024-05-30 14:20:31
190,Email Marketing Metrics 2024,Marketing,Web Scraping,2025-07-10,69562,21.11,2024-08-04 14:20:31
191,Supply Chain 2021,Manufacturing,Data.gov,2025-10-31,42512,41.17,2024-06-26 14:20:31
192,Customer Foot Traffic 2022,Retail,Data.gov,2025-06-15,641653,562.21,2024-08-30 14:20:31
193,Sensor Readings 2024,IoT,Web Scraping,2025-03-26,2890111,1032.63,2024-07-19 14:20:31
194,Product Catalog 2020,E-commerce,Google Dataset Search,2025-03-12,803589,713.78,2023-06-05 14:20:31
195,Flight Schedules 2021,Transportation,UCI ML Repository,2024-12-11,140352,132.55,2023-09-11 14:20:31
196,Email Marketing Metrics 2023,Marketing,Internal,2024-12-23,74205,37.35,2024-02-07 14:20:31
197,Environmental Monitoring 2020,IoT,Web Scraping,2025-10-10,2087,2.05,2025-03-29 14:20:31
198,Course Enrollment 2021,Education,GitHub,2025-01-28,145525,30.5,2024-08-05 14:20:31
199,Influencer Metrics 2020,Social Media,Kaggle,2025-01-15,6133182,1228.67,2023-11-13 14:20:31
200,Equipment Maintenance 2023,Manufacturing,AWS Open Data,2025-07-23,313125,75.21,2024-08-12 14:20:31
201,Smart Home Data 2024,IoT,AWS Open Data,2025-07-01,743514,228.27,2024-02-20 14:20:31
202,Quality Control 2024,Manufacturing,GitHub,2025-10-28,7060236,5095.79,2023-11-10 14:20:31
203,Product Catalog 2023,E-commerce,GitHub,2025-11-23,97847,69.65,2025-02-27 14:20:31
204,Quality Control 2024,Manufacturing,UCI ML Repository,2025-08-15,8834024,2272.84,2024-07-07 14:20:31
205,Stock Market Data 2023,Finance,Internal,2025-06-01,95668,27.87,2024-05-26 14:20:31
206,Quality Control 2023,Manufacturing,Web Scraping,2025-12-02,4150,3.05,2025-10-24 14:20:31
207,Medical Imaging 2024,Healthcare,API Collection,2025-11-08,394543,368.07,2024-09-14 14:20:31
208,Smart Home Data 2021,IoT,Data.gov,2025-03-09,7280,3.97,2023-06-26 14:20:31
209,Inventory Management 2020,Retail,Kaggle,2025-11-15,3383271,2324.68,2023-12-29 14:20:31
210,Vehicle Telemetry 2023,IoT,Company Database,2025-07-14,305434,165.91,2025-01-20 14:20:31
211,Medical Imaging 2021,Healthcare,Web Scraping,2025-08-26,4203461,614.92,2024-12-03 14:20:31
212,Vehicle Telemetry 2022,IoT,Kaggle,2025-08-31,7266314,4498.08,2024-03-31 14:20:31
213,User Purchase History 2021,E-commerce,API Collection,2025-04-22,2321,1.1,2024-03-14 14:20:31
214,User Interactions 2024,Social Media,Web Scraping,2025-06-02,2608,2.48,2024-05-04 14:20:31
215,Stock Market Data 2022,Finance,UCI ML Repository,2025-07-22,5853062,5339.09,2024-05-15 14:20:31
216,Shopping Cart Abandonment 2024,E-commerce,Company Database,2025-02-20,910200,214.92,2023-09-30 14:20:31
217,Shopping Cart Abandonment 2020,E-commerce,Google Dataset Search,2025-11-19,784299,692.93,2024-10-07 14:20:31
218,Smart Home Data 2021,IoT,Company Database,2025-03-06,7756,4.15,2023-12-16 14:20:31
219,Credit Risk Assessment 2023,Finance,Kaggle,2025-04-25,37629,21.01,2023-09-09 14:20:31
220,Vehicle Telemetry 2024,IoT,Data.gov,2025-07-05,8145082,5908.24,2024-12-20 14:20:31
221,Sentiment Analysis 2020,Social Media,Internal,2024-12-11,46183,41.12,2024-10-02 14:20:31
222,Student Performance 2020,Education,UCI ML Repository,2025-10-20,545674,478.41,2024-07-15 14:20:31
223,Sales Transactions 2022,Retail,Web Scraping,2025-05-11,1158,0.98,2024-05-24 14:20:31
224,Medical Imaging 2022,Healthcare,Company Database,2025-06-19,972356,345.31,2024-02-13 14:20:31
225,Social Media Engagement 2020,Marketing,API Collection,2024-12-26,7862,5.49,2024-04-01 14:20:31
226,Medical Imaging 2020,Healthcare,Internal,2025-04-03,6517713,5544.06,2023-10-30 14:20:31
227,Shipping Routes 2021,Transportation,API Collection,2025-07-04,2821,1.7,2025-03-19 14:20:31
228,Investment Portfolio 2021,Finance,UCI ML Repository,2025-01-20,7601380,6273.27,2024-01-14 14:20:31
229,Product Catalog 2022,E-commerce,AWS Open Data,2025-07-23,442997,169.22,2024-12-02 14:20:31
230,User Purchase History 2023,E-commerce,Kaggle,2025-11-30,7401774,1993.32,2024-10-07 14:20:31
231,Quality Control 2023,Manufacturing,Kaggle,2025-08-30,5878,2.33,2024-01-02 14:20:31
232,Stock Market Data 2024,Finance,Kaggle,2025-09-14,826039,738.75,2024-03-03 14:20:31
233,Sensor Readings 2024,IoT,Google Dataset Search,2025-07-01,8400,3.69,2025-04-05 14:20:31
234,Email Marketing Metrics 2021,Marketing,Data.gov,2025-02-26,8243708,2323.06,2024-08-20 14:20:31
235,Equipment Maintenance 2022,Manufacturing,Company Database,2025-02-25,501775,160.85,2024-12-06 14:20:31
236,Campaign Performance 2020,Marketing,Data.gov,2024-12-10,2790961,818.47,2023-12-05 14:20:31
237,Quality Control 2021,Manufacturing,Web Scraping,2025-04-28,636507,514.39,2023-05-30 14:20:31
238,Equipment Maintenance 2024,Manufacturing,Kaggle,2025-08-10,79887,32.02,2024-12-25 14:20:31
239,Public Transit Usage 2022,Transportation,AWS Open Data,2025-10-28,9951538,2485.16,2024-04-08 14:20:31
240,Flight Schedules 2023,Transportation,Web Scraping,2025-11-30,727088,186.85,2024-01-01 14:20:31
241,Sales Transactions 2021,Retail,API Collection,2025-10-25,3608,1.38,2025-02-15 14:20:31
242,Drug Interactions 2020,Healthcare,AWS Open Data,2025-11-17,8548,5.87,2025-03-20 14:20:31
243,Smart Home Data 2022,IoT,Company Database,2025-11-04,69991,10.94,2024-01-13 14:20:31
244,User Purchase History 2024,E-commerce,Google Dataset Search,2025-06-02,971068,324.28,2025-03-08 14:20:31
245,Social Media Engagement 2022,Marketing,UCI ML Repository,2025-05-14,433813,390.54,2024-07-18 14:20:31
246,Campaign Performance 2024,Marketing,UCI ML Repository,2025-01-24,6730,2.8,2024-08-10 14:20:31
247,Transaction Records 2023,Finance,Kaggle,2025-11-20,7938,4.93,2025-03-19 14:20:31
248,Public Transit Usage 2020,Transportation,Google Dataset Search,2025-07-08,2307269,596.52,2024-03-22 14:20:31
249,Sensor Readings 2023,IoT,Company Database,2025-11-21,19980,6.79,2024-10-25 14:20:31
250,Learning Analytics 2022,Education,Data.gov,2025-09-19,9013,2.47,2024-05-13 14:20:31
251,Campaign Performance 2024,Marketing,AWS Open Data,2025-04-25,1063061,346.99,2024-11-10 14:20:31
252,Shipping Routes 2023,Transportation,Google Dataset Search,2025-03-16,87177,33.72,2024-01-10 14:20:31
253,Social Media Engagement 2020,Marketing,Data.gov,2025-07-14,595551,214.25,2025-06-01 14:20:31
254,Shipping Routes 2020,Transportation,Data.gov,2025-04-28,283908,39.16,2023-11-26 14:20:31
255,Social Media Engagement 2020,Marketing,Web Scraping,2025-10-06,8454993,1772.11,2025-08-25 14:20:31
256,Smart Home Data 2024,IoT,Data.gov,2025-01-21,8582,7.39,2024-10-06 14:20:31
257,User Interactions 2022,Social Media,UCI ML Repository,2025-01-25,4247,1.56,2023-02-19 14:20:31
258,Smart Home Data 2021,IoT,AWS Open Data,2025-04-29,4924,0.55,2023-11-18 14:20:31
259,Course Enrollment 2022,Education,AWS Open Data,2025-10-27,5428126,2924.7,2024-06-22 14:20:31
260,Vehicle Telemetry 2020,IoT,Google Dataset Search,2025-06-30,844019,575.24,2025-04-11 14:20:31
261,Campaign Performance 2024,Marketing,GitHub,2025-08-06,5539,5.38,2023-11-27 14:20:31
262,Shopping Cart Abandonment 2023,E-commerce,Company Database,2025-10-16,21594,15.36,2025-03-01 14:20:31
263,Vehicle Telemetry 2024,IoT,GitHub,2025-10-14,71564,44.68,2023-11-19 14:20:31
264,Transaction Records 2023,Finance,Google Dataset Search,2025-05-13,10669,7.51,2024-01-06 14:20:31
265,Social Media Engagement 2024,Marketing,AWS Open Data,2025-05-15,89169,11.0,2023-06-15 14:20:31
266,Investment Portfolio 2024,Finance,GitHub,2024-12-31,5284299,4132.2,2024-10-04 14:20:31
267,Email Marketing Metrics 2023,Marketing,AWS Open Data,2025-08-01,2850,0.29,2025-01-07 14:20:31
